"country_name","country_code","anio","tasa_de_cambio_oficial"
"Frágiles y situaciones de conflicto afectados","FCS",2010,NA
"Frágiles y situaciones de conflicto afectados","FCS",2023,NA
"Finlandia","FIN",2000,1.08270508132602
"Finlandia","FIN",2010,0.754308990105961
"Finlandia","FIN",2023,0.924839558470698
"Fiji","FJI",2000,2.128625
"Fiji","FJI",2010,1.91850867822547
"Fiji","FJI",2023,2.250125
"Francia","FRA",2000,1.08270508132602
"Francia","FRA",2010,0.754308990105961
"Francia","FRA",2023,0.924839558470698
"Islas Feroe","FRO",2000,8.08314416666667
"Islas Feroe","FRO",2010,5.624075
"Islas Feroe","FRO",2023,6.88970258583334
"Micronesia (Estados Federados de)","FSM",2000,1
"Micronesia (Estados Federados de)","FSM",2010,1
"Micronesia (Estados Federados de)","FSM",2023,1
"Gabón","GAB",2000,710.207977031367
"Gabón","GAB",2010,494.794262222947
"Gabón","GAB",2023,606.569750165917
"Reino Unido","GBR",2000,0.660930833333333
"Reino Unido","GBR",2010,0.647179345560165
"Reino Unido","GBR",2023,0.804538906734353
"Georgia","GEO",2000,1.97616666666667
"Georgia","GEO",2010,1.78234166666667
"Georgia","GEO",2023,2.62795833333333
"Ghana","GHA",2000,0.544919175868766
"Ghana","GHA",2010,1.42998333333333
"Ghana","GHA",2023,11.0204083333333
"Gibraltar","GIB",2000,0.660930833333333
"Gibraltar","GIB",2010,0.647179345560165
"Gibraltar","GIB",2023,0.804538906734353
"Guinea","GIN",2000,1746.86991666667
"Guinea","GIN",2010,5726.07102083333
"Guinea","GIN",2023,NA
"Gambia","GMB",2000,12.7876250950944
"Gambia","GMB",2010,28.0119536626841
"Gambia","GMB",2023,61.0963330077956
"Guinea-Bissau","GNB",2000,710.207977031367
"Guinea-Bissau","GNB",2010,494.794262222947
"Guinea-Bissau","GNB",2023,606.569750165917
"Guinea Ecuatorial","GNQ",2000,710.207977031367
"Guinea Ecuatorial","GNQ",2010,494.794262222947
"Guinea Ecuatorial","GNQ",2023,606.569750165917
"Grecia","GRC",2000,365.398560833333
"Grecia","GRC",2010,0.754308990105961
"Grecia","GRC",2023,0.924839558470698
"Granada","GRD",2000,2.7
"Granada","GRD",2010,2.7
"Granada","GRD",2023,2.7
"Groenlandia","GRL",2000,8.08314416666667
"Groenlandia","GRL",2010,5.624075
"Groenlandia","GRL",2023,6.88970258583334
"Guatemala","GTM",2000,7.76315916666667
"Guatemala","GTM",2010,8.05777083333333
"Guatemala","GTM",2023,7.83197416666667
"Guam","GUM",2000,1
"Guam","GUM",2010,1
"Guam","GUM",2023,1
"Guyana","GUY",2000,182.43
"Guyana","GUY",2010,203.635833333333
"Guyana","GUY",2023,208.5
"Ingreso alto","HIC",2000,NA
"Ingreso alto","HIC",2010,NA
"Ingreso alto","HIC",2023,NA
"Hong Kong, Región Administrativa Especial","HKG",2000,7.79116666666667
"Hong Kong, Región Administrativa Especial","HKG",2010,7.76916666666667
"Hong Kong, Región Administrativa Especial","HKG",2023,7.82958333333333
"Honduras","HND",2000,14.840625
"Honduras","HND",2010,18.8951
"Honduras","HND",2023,24.6016468236818
"Países pobres muy endeudados (PPME)","HPC",2000,NA
"Países pobres muy endeudados (PPME)","HPC",2010,NA
"Países pobres muy endeudados (PPME)","HPC",2023,NA
"Croacia","HRV",2000,8.27766641666667
"Croacia","HRV",2010,5.49801058333333
"Croacia","HRV",2023,0.924839558470698
"Haití","HTI",2000,21.1706666666667
"Haití","HTI",2010,39.7974
"Haití","HTI",2023,141.035912702189
"Hungría","HUN",2000,282.179166666667
"Hungría","HUN",2010,207.944166666667
"Hungría","HUN",2023,353.088333333333
"Sólo BIRF","IBD",2000,NA
"Sólo BIRF","IBD",2010,NA
"Sólo BIRF","IBD",2023,NA
"BIRF y la AIF","IBT",2000,NA
"BIRF y la AIF","IBT",2010,NA
"BIRF y la AIF","IBT",2023,NA
"total de la AIF","IDA",2000,NA
"total de la AIF","IDA",2010,NA
"total de la AIF","IDA",2023,NA
"mezcla de la AIF","IDB",2000,NA
"mezcla de la AIF","IDB",2010,NA
"mezcla de la AIF","IDB",2023,NA
"Indonesia","IDN",2000,8421.775
"Indonesia","IDN",2010,9090.43333333333
"Indonesia","IDN",2023,15236.8846620506
"Sólo AIF","IDX",2000,NA
"Sólo AIF","IDX",2010,NA
"Sólo AIF","IDX",2023,NA
"Isla de Man","IMN",2000,0.660930833333333
"Isla de Man","IMN",2010,0.647179345560165
"Isla de Man","IMN",2023,0.804538906734353
"India","IND",2000,44.941605
"India","IND",2010,45.7258121212121
"India","IND",2023,82.5992764460784
"No clasificado","INX",2000,NA
"No clasificado","INX",2010,NA
"No clasificado","INX",2023,NA
"Irlanda","IRL",2000,1.08270508132602
"Irlanda","IRL",2010,0.754308990105961
"Irlanda","IRL",2023,0.924839558470698
"Irán, República Islámica del","IRN",2000,1764.85606929191
"Irán, República Islámica del","IRN",2010,10254.176470289
"Irán, República Islámica del","IRN",2023,42000
"Iraq","IRQ",2000,2002.40340735354
"Iraq","IRQ",2010,1170
"Iraq","IRQ",2023,1312.5
"Islandia","ISL",2000,78.6159466666667
"Islandia","ISL",2010,122.241811205165
"Islandia","ISL",2023,137.942952429967
"Israel","ISR",2000,4.07733333333333
"Israel","ISR",2010,3.738975
"Israel","ISR",2023,3.6673747160226
"Italia","ITA",2000,1.08270508132602
"Italia","ITA",2010,0.754308990105961
"Italia","ITA",2023,0.924839558470698
"Jamaica","JAM",2000,42.9857
"Jamaica","JAM",2010,87.1961463300915
"Jamaica","JAM",2023,154.158779031722
"Jordania","JOR",2000,0.709
"Jordania","JOR",2010,0.71
"Jordania","JOR",2023,0.71
"Japón","JPN",2000,107.765498333333
"Japón","JPN",2010,87.779875
"Japón","JPN",2023,140.49110006234
"Kazajstán","KAZ",2000,142.133333333333
"Kazajstán","KAZ",2010,147.355
"Kazajstán","KAZ",2023,456.165
"Kenya","KEN",2000,76.1755416666667
"Kenya","KEN",2010,79.2331517045454
"Kenya","KEN",2023,139.846383759617
"Kirguistán","KGZ",2000,47.7038333333333
"Kirguistán","KGZ",2010,45.9642614008139
"Kirguistán","KGZ",2023,87.8561255862776
"Camboya","KHM",2000,3840.75
"Camboya","KHM",2010,4184.91666666667
"Camboya","KHM",2023,4110.65274641577
"Kiribati","KIR",2000,1.72482666666667
"Kiribati","KIR",2010,1.09015948638677
"Kiribati","KIR",2023,1.50519106560508
"Saint Kitts y Nevis","KNA",2000,2.7
"Saint Kitts y Nevis","KNA",2010,2.7
"Saint Kitts y Nevis","KNA",2023,2.7
"Corea, República de","KOR",2000,1130.3625
"Corea, República de","KOR",2010,1156.46
"Corea, República de","KOR",2023,1305.6625
"Kuwait","KWT",2000,0.306751583333333
"Kuwait","KWT",2010,0.286606591666667
"Kuwait","KWT",2023,0.30718535125088
"América Latina y el Caribe (excluido altos ingresos)","LAC",2000,NA
"América Latina y el Caribe (excluido altos ingresos)","LAC",2010,NA
"América Latina y el Caribe (excluido altos ingresos)","LAC",2023,NA
"República Democrática Popular Lao","LAO",2000,7887.64333333333
"República Democrática Popular Lao","LAO",2010,8254.16302973342
"República Democrática Popular Lao","LAO",2023,17688.8735909054
"Líbano","LBN",2000,1507.5
"Líbano","LBN",2010,1507.5
"Líbano","LBN",2023,13875.625
"Liberia","LBR",2000,40.9025
"Liberia","LBR",2010,71.4033333333333
"Liberia","LBR",2023,174.955982783514
"Libia","LBY",2000,0.512189613308333
"Libia","LBY",2010,1.26678941001316
"Libia","LBY",2023,4.81288333333334
"Santa Lucía","LCA",2000,2.7
"Santa Lucía","LCA",2010,2.7
"Santa Lucía","LCA",2023,2.7
"América Latina y el Caribe","LCN",2000,NA
"América Latina y el Caribe","LCN",2010,NA
"América Latina y el Caribe","LCN",2023,NA
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC",2000,NA
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC",2010,NA
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC",2023,NA
"Países de ingreso bajo","LIC",2000,NA
"Países de ingreso bajo","LIC",2010,NA
"Países de ingreso bajo","LIC",2023,NA
"Liechtenstein","LIE",2000,NA
"Liechtenstein","LIE",2010,NA
"Liechtenstein","LIE",2023,NA
"Sri Lanka","LKA",2000,77.0051166666667
"Sri Lanka","LKA",2010,113.064480448821
"Sri Lanka","LKA",2023,327.506533333333
"Países de ingreso mediano bajo","LMC",2000,NA
"Países de ingreso mediano bajo","LMC",2010,NA
"Países de ingreso mediano bajo","LMC",2023,NA
"Ingreso mediano y bajo","LMY",2000,NA
"Ingreso mediano y bajo","LMY",2010,NA
"Ingreso mediano y bajo","LMY",2023,NA
"Lesotho","LSO",2000,6.93982833333333
"Lesotho","LSO",2010,7.32122196115288
"Lesotho","LSO",2023,18.4502441785
"avanzada del dividendo demográfico","LTE",2000,NA
"avanzada del dividendo demográfico","LTE",2010,NA
"avanzada del dividendo demográfico","LTE",2023,NA
"Lituania","LTU",2000,4
"Lituania","LTU",2010,2.60633333333333
"Lituania","LTU",2023,0.924839558470698
"Luxemburgo","LUX",2000,1.08270508132602
"Luxemburgo","LUX",2010,0.754308990105961
"Luxemburgo","LUX",2023,0.924839558470698
"Letonia","LVA",2000,0.6065
"Letonia","LVA",2010,0.530475
"Letonia","LVA",2023,0.924839558470698
"Región Administrativa Especial de Macao, China","MAC",2000,8.0259
"Región Administrativa Especial de Macao, China","MAC",2010,8.00221666666667
"Región Administrativa Especial de Macao, China","MAC",2023,8.06339008333333
