"country_name","country_code","anio","tasa_de_cambio_oficial","log_tasa"
"Saint Kitts y Nevis","KNA",2023,2.7,0.993251773010283
"Corea, República de","KOR",2000,1130.3625,7.03029365672238
"Corea, República de","KOR",2010,1156.46,7.05311889395705
"Corea, República de","KOR",2023,1305.6625,7.17446585377486
"Kuwait","KWT",2000,0.306751583333333,-1.18171703376358
"Kuwait","KWT",2010,0.286606591666667,-1.24964476431777
"Kuwait","KWT",2023,0.30718535125088,-1.18030396357578
"América Latina y el Caribe (excluido altos ingresos)","LAC",2000,NA,NA
"América Latina y el Caribe (excluido altos ingresos)","LAC",2010,NA,NA
"América Latina y el Caribe (excluido altos ingresos)","LAC",2023,NA,NA
"República Democrática Popular Lao","LAO",2000,7887.64333333333,8.97305267889777
"República Democrática Popular Lao","LAO",2010,8254.16302973342,9.01847296172074
"República Democrática Popular Lao","LAO",2023,17688.8735909054,9.78069111022008
"Líbano","LBN",2000,1507.5,7.31820792860134
"Líbano","LBN",2010,1507.5,7.31820792860134
"Líbano","LBN",2023,13875.625,9.53788898264518
"Liberia","LBR",2000,40.9025,3.71119118587509
"Liberia","LBR",2010,71.4033333333333,4.26834455359661
"Liberia","LBR",2023,174.955982783514,5.16453441533396
"Libia","LBY",2000,0.512189613308333,-0.669060384008165
"Libia","LBY",2010,1.26678941001316,0.236485676011441
"Libia","LBY",2023,4.81288333333334,1.57129635012137
"Santa Lucía","LCA",2000,2.7,0.993251773010283
"Santa Lucía","LCA",2010,2.7,0.993251773010283
"Santa Lucía","LCA",2023,2.7,0.993251773010283
"América Latina y el Caribe","LCN",2000,NA,NA
"América Latina y el Caribe","LCN",2010,NA,NA
"América Latina y el Caribe","LCN",2023,NA,NA
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC",2000,NA,NA
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC",2010,NA,NA
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC",2023,NA,NA
"Países de ingreso bajo","LIC",2000,NA,NA
"Países de ingreso bajo","LIC",2010,NA,NA
"Países de ingreso bajo","LIC",2023,NA,NA
"Liechtenstein","LIE",2000,NA,NA
"Liechtenstein","LIE",2010,NA,NA
"Liechtenstein","LIE",2023,NA,NA
"Sri Lanka","LKA",2000,77.0051166666667,4.34387186986242
"Sri Lanka","LKA",2010,113.064480448821,4.72795827940959
"Sri Lanka","LKA",2023,327.506533333333,5.79150800398574
"Países de ingreso mediano bajo","LMC",2000,NA,NA
